lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.8,854,linear_epsilon_greedy,0.4485899451142979,0.07348325111680219,0.11149894286760514,0.8309313881294178,95.45036901216056
0.8,854,linucb,0.544759302642256,0.08575898161098588,0.1223082618434308,0.8403446752396625,110.27592125262032
0.8,854,random,0.5096899281118009,0.16446931761040684,0.20317122908548269,0.7703625315340347,229.60592817721124
0.8,854,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8262169467435275,52.46320379757186
0.8,854,thompson_sampling,0.5502535189732548,0.08831664323276059,0.12598033685826812,0.8393973892084424,126.27084200254495
0.8,855,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.5071530481080287,731.4273224816835
0.8,855,epsilon_greedy,0.5827452629252492,0.09186492599897134,0.11835307335948902,0.8430571117858728,119.87650495554878
0.8,855,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5470529019891578,440.4658335067343
0.8,855,linear_epsilon_greedy,0.5405126924956424,0.07313090511927259,0.11076677722466738,0.8495978144037104,102.54262312789862
0.8,855,linucb,0.5328874288533045,0.08008525829473094,0.11679809705197622,0.8425092791348762,105.85244928029395
0.8,855,random,0.520350302442788,0.17219653457321069,0.20946379319126873,0.766312832829989,238.27735747561857
0.8,855,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8262169467435275,52.46320379757186
0.8,855,thompson_sampling,0.5292701620873218,0.0873208876218863,0.1254861078732341,0.8359973223199553,113.92905792556085
0.8,856,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.5071530481080287,731.4273224816835
0.8,856,epsilon_greedy,0.5031086363535361,0.07566584659693897,0.11699411075549128,0.840089049993156,96.78151488732433
0.8,856,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5470529019891578,440.4658335067343
0.8,856,linear_epsilon_greedy,0.5281209146190181,0.08284807466715888,0.12068613992801522,0.8393457231900766,114.04712885642498
0.8,856,linucb,0.5605940781994253,0.08228203450814928,0.1169622472477703,0.8462931880333657,117.74804848225907
0.8,856,random,0.5162825158669737,0.16721901002549522,0.20640264797493788,0.7694812951529986,240.87600045859884
0.8,856,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8262169467435275,52.46320379757186
0.8,856,thompson_sampling,0.5428316146379963,0.08681443139124856,0.12357430999087603,0.8391147778146003,122.915879764719
0.8,857,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.5071530481080287,731.4273224816835
0.8,857,epsilon_greedy,0.5404441179727854,0.08897091533158585,0.11960608121073135,0.8369120913292883,119.53751399127655
0.8,857,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5470529019891578,440.4658335067343
0.8,857,linear_epsilon_greedy,0.541520397576384,0.09144359950593398,0.1280092049566629,0.8351491999105296,117.0941842552142
0.8,857,linucb,0.5412218762619325,0.08115086608523263,0.11708048044091657,0.8433236823842004,117.54629430504538
0.8,857,random,0.5093792756796388,0.16662533358156964,0.2032586972813308,0.7685755882706721,236.05210922000413
0.8,857,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8262169467435275,52.46320379757186
0.8,857,thompson_sampling,0.5582532707569272,0.08619389350298033,0.12308584504915768,0.8426955393490012,115.99616226971244
0.8,858,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.5071530481080287,731.4273224816835
0.8,858,epsilon_greedy,0.5491646648844497,0.09686786847717542,0.13730637871284482,0.8323386381951495,156.3579378364321
0.8,858,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5470529019891578,440.4658335067343
0.8,858,linear_epsilon_greedy,0.48851278291956635,0.08267281417116538,0.12264115596280155,0.831564305246981,116.67624583823742
0.8,858,linucb,0.5576911577958263,0.08414928038451396,0.11776283628348166,0.8442188072515541,122.30773743354753
0.8,858,random,0.5172261053448415,0.16679090063537966,0.20356377924458713,0.7700125005606645,226.1171790837815
0.8,858,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8262169467435275,52.46320379757186
0.8,858,thompson_sampling,0.5265103409059381,0.0847748850083464,0.12271199766526304,0.8374821601745105,115.31973767684372
0.8,859,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.5071530481080287,731.4273224816835
0.8,859,epsilon_greedy,0.5185337792762078,0.08967641894531402,0.1280964268380566,0.8319656206989903,135.46294805296654
0.8,859,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5470529019891578,440.4658335067343
0.8,859,linear_epsilon_greedy,0.4549162286110084,0.07119703285022767,0.11343057747849004,0.8340256194420195,85.81199334235649
0.8,859,linucb,0.5420187446246635,0.08384172150233327,0.12073071304593398,0.8413303717230661,112.03288377195491
0.8,859,random,0.4974752524350478,0.16569098747477923,0.20338690873013646,0.7669422605071862,240.15295351598465
0.8,859,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8262169467435275,52.46320379757186
0.8,859,thompson_sampling,0.5303674540202734,0.08962776182328193,0.1295164834899731,0.834371281345429,115.74324976485013
0.9,940,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,940,epsilon_greedy,0.3779513875902117,0.04694666452550688,0.06920270721676225,0.8955431406860649,63.192533360565086
0.9,940,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,940,linear_epsilon_greedy,0.47258436423652184,0.0767910857913389,0.11644492373717857,0.8781464592114471,65.66383611926949
0.9,940,linucb,0.4578631980286296,0.0666099011109889,0.10002459896316761,0.885837408802973,79.00271800878929
0.9,940,random,0.5208244645603347,0.16413102351986794,0.20181227376306243,0.8043645252881524,238.48677227296787
0.9,940,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,940,thompson_sampling,0.4764650152889762,0.0735336490696389,0.11089283390414639,0.8814662173662225,92.92398988450257
0.9,941,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,941,epsilon_greedy,0.326486898016416,0.05090414241817625,0.09108068430237175,0.886834961625283,55.80504631754302
0.9,941,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,941,linear_epsilon_greedy,0.5262433888486997,0.08357190941677049,0.11128381539474468,0.8774096204097764,119.73511609617034
0.9,941,linucb,0.5013840345878872,0.07028361621243144,0.10631392432206214,0.8868831488676003,85.57826461376777
0.9,941,random,0.5159281227759978,0.1701731368844175,0.20643508631678364,0.7984369890816241,237.9774469044245
0.9,941,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,941,thompson_sampling,0.4839553501707645,0.0751467967681251,0.11281532228588621,0.8807634179257638,94.88752533254825
0.9,942,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,942,epsilon_greedy,0.5019032919994221,0.07467229774009501,0.11634698666904929,0.8829852612338567,95.90324599336395
0.9,942,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,942,linear_epsilon_greedy,0.44922604831537893,0.07812490419188671,0.13447024106870825,0.8746101910588399,98.03524116117104
